,Код по Эдунаву,Сектор экономики,Направление,Название профессии RU,
1,85,"Бизнес, управление и право",Политика и управление,Депутат Законодательного органа,
2,252,"Бизнес, управление и право",Финансы,Менеджер счета,
3,89,"Бизнес, управление и право",Политика и управление,Политолог,
4,87,"Бизнес, управление и право",Политика и управление,Юристконсульт,
5,257,"Бизнес, управление и право",Политика и управление,Специалист центра выплаты пособий,
6,301,"Бизнес, управление и право",Торговля,Закупщик,
7,232,"Бизнес, управление и право",Торговля,Рекламный агент,
8,82,"Бизнес, управление и право",Торговля,Брокер-трейдер,
9,80,"Бизнес, управление и право",Торговля,Декоратор витрин,
10,146,"Бизнес, управление и право",Торговля,Маркетолог,
11,83,"Бизнес, управление и право",Торговля,Специалист по продажам,
12,79,"Бизнес, управление и право",Торговля,Специалист по логистике,
13,235,"Бизнес, управление и право",Торговля,Специалист по рекламе,
14,81,"Бизнес, управление и право",Торговля,Специалист по государственным закупкам,
15,267,"Бизнес, управление и право",Торговля,Супервайзер магазина,
16,84,"Бизнес, управление и право",Торговля,Торговый представитель,
17,286,"Бизнес, управление и право",Юриспруденция,Адвокат,
18,86,"Бизнес, управление и право",Юриспруденция,Адвокат по вопросам равных возможностей,
19,33,"Бизнес, управление и право",Юриспруденция,Арбитр,
20,240,"Бизнес, управление и право",Юриспруденция,Юрист,
21,30,"Бизнес, управление и право",Юриспруденция,Судья,
22,147,"Бизнес, управление и право",Юриспруденция,Частный детектив,
23,298,"Бизнес, управление и право",Администрирование,Делопроизводитель,
24,299,"Бизнес, управление и право",Финансы,Бухгалтер,
25,300,"Бизнес, управление и право",Финансы,Экономист,
26,303,"Бизнес, управление и право",Финансы,Кредитный агент,
27,304,"Бизнес, управление и право",Финансы,Банковский кассир,
28,302,"Бизнес, управление и право",Финансы,Страховой агент,
29,343,"Бизнес, управление и право",Финансы,Финансовый менеджер,
30,344,"Бизнес, управление и право",Финансы,Управляющий инвестиционным фондом,
31,104,"Ветеринария, науки о животных",Ветеринария,Ветеринар,
32,106,"Ветеринария, науки о животных",Ветеринария,Ветеринарный врач,
33,105,"Ветеринария, науки о животных",Ветеринария,Смотритель лабораторных животных,
34,169,"Естественные науки, математика и статистика",Биологические и смежные науки,Биолог,
35,170,"Естественные науки, математика и статистика",Биологические и смежные науки,Лаборант-исследователь в области биологии,
36,325,"Естественные науки, математика и статистика",Биологические и смежные науки,Микробиолог,
37,238,"Естественные науки, математика и статистика","Математика, статистика, механика",Актуарий,
38,178,"Естественные науки, математика и статистика","Математика, статистика, механика",Математик,
39,218,"Естественные науки, математика и статистика","Математика, статистика, механика",Статистик,
40,310,"Естественные науки, математика и статистика",Физика и смежные,Техник по робототехнике,
41,175,"Естественные науки, математика и статистика",Физика и смежные,Астроном,
42,192,"Естественные науки, математика и статистика",Физика и смежные,Инженер-ядерщик,
43,176,"Естественные науки, математика и статистика",Физика и смежные,Техник-геолог,
44,174,"Естественные науки, математика и статистика",Физика и смежные,Физик,
45,172,"Естественные науки, математика и статистика",Химия и смежные,Оператор химических установок,
46,173,"Естественные науки, математика и статистика",Химия и смежные,Химик,
47,171,"Естественные науки, математика и статистика",Химия и смежные,Химик-технолог,
48,66,"Естественные науки, математика и статистика",Экология,Аналитик политики в области контроля изменения климата,
49,64,"Естественные науки, математика и статистика",Экология,Географ,
50,191,"Естественные науки, математика и статистика",Экология,Инженер-эколог,
51,327,"Естественные науки, математика и статистика",Экология,Метеоролог,
52,288,"Естественные науки, математика и статистика",Экология,Эколог,
53,306,Здравоохранение и социальное обеспечение (медицина),Медицина,Массажист,
54,26,Здравоохранение и социальное обеспечение (медицина),Медицина,Акушер-гинеколог,
55,25,Здравоохранение и социальное обеспечение (медицина),Медицина,Аллерголог-иммунолог,
56,98,Здравоохранение и социальное обеспечение (медицина),Медицина,Анестезиолог,
57,259,Здравоохранение и социальное обеспечение (медицина),Медицина,Врач общий хирург,
58,96,Здравоохранение и социальное обеспечение (медицина),Медицина,Врач физической медицины и реабилитации,
59,97,Здравоохранение и социальное обеспечение (медицина),Медицина,Дерматолог,
60,23,Здравоохранение и социальное обеспечение (медицина),Медицина,Диетолог,
61,22,Здравоохранение и социальное обеспечение (медицина),Медицина,Врач медицинской психологии,
62,46,Здравоохранение и социальное обеспечение (медицина),Медицина,Медицинская(ий) сестра/брат,
63,244,Здравоохранение и социальное обеспечение (медицина),Медицина,Музыкальный терапевт,
64,95,Здравоохранение и социальное обеспечение (медицина),Медицина,Оптометрист,
