,Unnamed: 0,spec_id,spec_name,prof_id,prof_name,edunav_sec,edunav_spec,id_edunav,trashhold
0,0,1.395,Банковское ПО,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Разработчик ПО,124,
1,1,1.400,Оптимизация сайта (SEO),1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,SEO специалист,336,
2,2,1.420,Администратор баз данных,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Администратор базы данных,279,
3,3,1.474,Стартапы,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Менеджер IT проектов,275,
4,4,1.475,Игровое ПО,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Разработчик ПО,124,
5,5,1.536,CRM системы,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Системный администратор,280,
7,7,1.3,"CTO, CIO, Директор по IT",1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Менеджер IT проектов,275,
8,8,1.9,Web инженер,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Web-разработчик,284,
9,9,1.10,Web мастер,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Web-разработчик,284,
10,10,1.25,Аналитик,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,BI аналитик,269,
11,11,1.30,Арт-директор,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Специалист по верстке графического интерфейса,246,
12,12,1.50,Системы управления предприятием (ERP),1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Специалист по хранению данных,272,
13,13,1.82,Инженер,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Инженер компьютерных систем,270,
14,14,1.89,Интернет,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Администратор сайта,277,
15,15,1.110,Компьютерная безопасность,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Аналитик информационной безопастности,127,
16,16,1.113,"Консалтинг, Аутсорсинг",1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Специалист по поддержке пользователей,271,
17,17,1.116,Контент,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,SEO специалист,336,
18,18,1.117,Тестирование,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,QA инженер,337,
19,19,1.137,Маркетинг,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Администратор сайта,146,
20,20,1.161,Мультимедиа,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Гейм-дизайнер,276,
22,22,1.203,Передача данных и доступ в интернет,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Специалист по хранению данных,282,
23,23,1.211,"Поддержка, Helpdesk",1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Специалист по поддержке пользователей,271,
24,24,1.221,"Программирование, Разработка",1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Разработчик ПО,124,
25,25,1.225,Продажи,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Специалист по продажам,83,
26,26,1.232,Продюсер,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Продюсер и режиссер,15,
27,27,1.246,Развитие бизнеса,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Менеджер IT проектов,275,
28,28,1.270,Сетевые технологии,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Архитектор сетевых технологий,278,
29,29,1.272,Системная интеграция,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Аналитик цифровой криминалистики,223,
30,30,1.273,Системный администратор,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Системный администратор,280,
31,31,1.274,Системы автоматизированного проектирования,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Администратор сайта,277,
32,32,1.277,"Сотовые, Беспроводные технологии",1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Инженер телекоммункационных технологий,281,
33,33,1.295,Телекоммуникации,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Специалист-техник по телекоммуникациям,311,
34,34,1.296,Технический писатель,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Автор технической документации,233,
35,35,1.327,Управление проектами,1,"Информационные технологии, интернет, телеком",Информационно-коммуникационные технологии,Менеджер IT проектов,275,
36,37,20.396,Эксплуатация,20,"Строительство, недвижимость","Инженерные, обрабатывающие и строительные отрасли",Слесарь,167,
37,38,20.445,ЖКХ,20,"Строительство, недвижимость","Инженерные, обрабатывающие и строительные отрасли","Инженер-проектировщик, судостроения",243,
38,39,20.484,Геодезия и картография,20,"Строительство, недвижимость","Инженерные, обрабатывающие и строительные отрасли",Техник-геолог,176,
39,40,20.490,Рабочие строительных специальностей,20,"Строительство, недвижимость","Инженерные, обрабатывающие и строительные отрасли",Инженер-строитель,287,
40,41,20.525,Землеустройство,20,"Строительство, недвижимость","Инженерные, обрабатывающие и строительные отрасли",Техник по земельному кадастру,213,
41,42,20.526,Оценка,20,"Строительство, недвижимость","Инженерные, обрабатывающие и строительные отрасли",Инженер по контролю качества,114,
42,43,20.527,"Отопление, вентиляция и кондиционирование",20,"Строительство, недвижимость","Инженерные, обрабатывающие и строительные отрасли",Инженер аэрокомических систем,118,
43,44,20.528,Водоснабжение и канализация,20,"Строительство, недвижимость","Инженерные, обрабатывающие и строительные отрасли",Инженеры по строительству систем водоснабжения и канализации,225,
44,45,20.573,Тендеры,20,"Строительство, недвижимость","Инженерные, обрабатывающие и строительные отрасли",Специалист по государственным закупкам,81,
46,47,20.20,Агент,20,"Строительство, недвижимость","Инженерные, обрабатывающие и строительные отрасли",Специалист по устойчивому развитию,242,
47,48,20.58,"Гостиницы, Магазины",20,"Строительство, недвижимость","Инженерные, обрабатывающие и строительные отрасли",Туристический агент,63,
48,49,20.63,Дизайн/Оформление,20,"Строительство, недвижимость","Инженерные, обрабатывающие и строительные отрасли",Промышленный дизайнер,189,
49,51,20.83,Инженер,20,"Строительство, недвижимость","Инженерные, обрабатывающие и строительные отрасли",Инженер-механик,107,
