id,parent_id,name,areas
6251,40,Абай,Восточно-Казахстанская область
2728,40,Акколь,Акмолинская область
150,40,Аксай (Казахстан),Западно-Казахстанская область
6254,40,Аксукент,Туркестанская область
151,40,Аксу (Павлодар.обл),Павлодарская область
152,40,Актау,Мангыстауская область
154,40,Актобе,Актюбинская область
6365,40,Актогай,Восточно-Казахстанская область
156,40,Алга (Актюбинская обл),Актюбинская область
160,40,Алматы,Алматы
169,40,Алтай (Зыряновск),Восточно-Казахстанская область
158,40,Аральск,Кызылординская область
161,40,Аркалык,Костанайская область
6300,40,Арысь (Туркестанская область),Туркестанская область
155,40,Арысь (ЮКО),Туркестанская область
6493,40,Аса,Жамбылская область
6511,40,Асыката,Туркестанская область
6510,40,Атакент,Туркестанская область
6351,40,Атасу,Карагандинская область
3663,40,Атбасар,Акмолинская область
153,40,Атырау,Атырауская область
5053,40,Аулиеколь,Костанайская область
157,40,Аягоз (ВКО),Восточно-Казахстанская область
2226,40,Байконур (Кызылорд. обл),Кызылординская область
6497,40,Балпык-Би,Алматинская область
164,40,Балхаш,Карагандинская область
5118,40,Батпак,Восточно-Казахстанская область
162,40,Баутино,Мангыстауская область
6488,40,Бауыржан Момышулы,Жамбылская область
163,40,Бейнеу (Мангистауская обл),Мангыстауская область
5055,40,Бесколь,Алматинская область
5129,40,Бурабай,Акмолинская область
6431,40,Глубокое (Восточно-Казахстанская область),Восточно-Казахстанская область
6483,40,Дарьинское,Западно-Казахстанская область
165,40,Ерейментау (Акмол.обл),Акмолинская область
6287,40,Есик,Алматинская область
6292,40,Есиль,Акмолинская область
6343,40,Жайрем,Карагандинская область
5124,40,Жаксы,Акмолинская область
6347,40,Жалагаш,Кызылординская область
2510,40,Жанаозен,Мангыстауская область
6446,40,Жанаркорган,Туркестанская область
167,40,Жанатас,Туркестанская область
6482,40,Жангала,Западно-Казахстанская область
6481,40,Жанибек,Западно-Казахстанская область
6496,40,Жансугуров,Алматинская область
6104,40,Жаркент,Алматинская область
166,40,Жезказган,Карагандинская область
2952,40,Жетысай,Туркестанская область
6322,40,Житикара,Костанайская область
6346,40,Жосалы (Кызылординская область),Кызылординская область
6479,40,Жымпиты,Западно-Казахстанская область
168,40,Зайсан,Восточно-Казахстанская область
170,40,Иссык,Алматинская область
6460,40,Кабанбай,Алматинская область
175,40,Казалы (Кызылорд. обл),Кызылординская область
6509,40,Казыгурт,Туркестанская область
3074,40,Кандыагаш,Актюбинская область
171,40,Капчагай,Алматинская область
5054,40,Карабалык,Костанайская область
6525,40,Жетыбай (Мангыстауская область),Мангыстауская область
